Fnoise [fs],Resolution [ps],PDC0 [ps],PDC1 [ps],PVDL0 [ps],PVDL1 [ps],H [bit/bit]
30,64,613.75,386.25,218.0,282.0,0.4553031078379523
30,32.0,603.75,396.25,234.0,266.0,0.8146905161581672
30,16.0,598.75,401.25,242.0,258.0,0.9788812327272216
30,8.0,596.25,403.75,246.0,254.0,0.9999999464339979
30,11.313708498984761,597.2855339059328,402.71446609406723,244.34314575050763,255.65685424949237,0.9999989891462093
30,13.454342644059434,597.9544820762686,402.04551792373144,243.2728286779703,256.72717132202973,0.9958700156482578
30,12.337686603263528,597.6055270635198,402.39447293648016,243.83115669836823,256.16884330163174,0.9989216354687727
30,12.883922655594036,597.7762258298732,402.2237741701269,243.55803867220297,256.441961327797,0.9971145763820157
30,13.166043825231721,597.864388695385,402.1356113046151,243.41697808738414,256.58302191261583,0.9962669958880783
30,13.024219374858784,597.8200685546434,402.1799314453566,243.4878903125706,256.5121096874294,0.9966556760366738
30,64,1113.75,886.25,218.0,282.0,0.605934564432
30,32.0,1103.75,896.25,234.0,266.0,0.8698122980344252
30,16.0,1098.75,901.25,242.0,258.0,0.9921087887176872
30,8.0,1096.25,903.75,246.0,254.0,0.9999999999852179
30,11.313708498984761,1097.2855339059327,902.7144660940672,244.34314575050763,255.65685424949237,0.9999962562977924
30,13.454342644059434,1097.9544820762685,902.0455179237314,243.2728286779703,256.72717132202973,0.9992857442225884
30,14.67206469127474,1098.3350202160234,901.6649797839766,242.66396765436264,257.33603234563736,0.999987393602099
30,15.321652491177177,1098.5380164034927,901.4619835965071,242.3391737544114,257.66082624558857,0.9982462129280244
30,15.657152993403201,1098.6428603104384,901.3571396895616,242.1714235032984,257.8285764967016,0.995793816435292
30,15.488494347938355,1098.5901544837307,901.4098455162692,242.25575282603083,257.7442471739692,0.9971655617089377
30,64,1613.75,1386.25,218.0,282.0,0.6924772829528867
30,32.0,1603.75,1396.25,234.0,266.0,0.9034587167291279
30,16.0,1598.75,1401.25,242.0,258.0,0.9971119405789146
30,22.627416997969522,1600.8210678118655,1399.1789321881345,238.68629150101523,261.31370849898474,0.9250595710302225
30,19.027313840043536,1599.6960355750136,1400.3039644249864,240.48634307997824,259.5136569200218,0.9975574040077972
30,20.749432874416154,1600.2341977732551,1399.7658022267449,239.62528356279194,260.37471643720806,0.9904060828190699
30,19.869724993175744,1599.9592890603674,1400.0407109396326,240.06513750341213,259.93486249658787,0.999806878968126
30,20.30481531506773,1600.0952547859586,1399.9047452140414,239.84759234246613,260.15240765753384,0.9970817500047546
30,20.525920257260452,1600.164350080394,1399.835649919606,239.73703987136977,260.2629601286302,0.9942825975766016
30,20.415068454342276,1600.1297088919819,1399.8702911080181,239.79246577282885,260.20753422717115,0.9958125319081078
30,64,2113.75,1886.25,218.0,282.0,0.7481473156987528
30,32.0,2103.75,1896.25,234.0,266.0,0.927124371039598
30,16.0,2098.75,1901.25,242.0,258.0,0.9989678088890108
30,22.627416997969522,2100.8210678118653,1899.1789321881345,238.68629150101523,261.31370849898474,0.957275705452143
30,19.027313840043536,2099.6960355750134,1900.3039644249864,240.48634307997824,259.5136569200218,0.9991976411694274
30,20.749432874416154,2100.234197773255,1899.7658022267449,239.62528356279194,260.37471643720806,0.9944594212248951
30,19.869724993175744,2099.9592890603676,1900.0407109396326,240.06513750341213,259.93486249658787,0.999781656900677
30,20.30481531506773,2100.095254785959,1899.9047452140414,239.84759234246613,260.15240765753384,0.9981547172580174
30,20.525920257260452,2100.164350080394,1899.835649919606,239.73703987136977,260.2629601286302,0.9965950032581321
30,20.415068454342276,2100.129708891982,1899.8702911080181,239.79246577282885,260.20753422717115,0.997443744923175
30,64,2613.75,2386.25,218.0,282.0,0.7868538455173468
30,32.0,2603.75,2396.25,234.0,266.0,0.9446627017861056
30,16.0,2598.75,2401.25,242.0,258.0,0.9996387169475656
30,22.627416997969522,2600.8210678118653,2399.1789321881347,238.68629150101523,261.31370849898474,0.975650667724386
30,19.027313840043536,2599.6960355750134,2400.3039644249866,240.48634307997824,259.5136569200218,0.9997524954165808
30,20.749432874416154,2600.234197773255,2399.765802226745,239.62528356279194,260.37471643720806,0.9968315167181685
30,19.869724993175744,2599.9592890603676,2400.0407109396324,240.06513750341213,259.93486249658787,0.9998103148165599
30,20.30481531506773,2600.095254785959,2399.904745214041,239.84759234246613,260.15240765753384,0.9988678418458824
30,20.525920257260452,2600.164350080394,2399.835649919606,239.73703987136977,260.2629601286302,0.9980049207721157
30,20.63737397450665,2600.199179367033,2399.800820632967,239.68131301274667,260.31868698725333,0.9974589811074119
30,64,3113.75,2886.25,218.0,282.0,0.815293316404189
30,32.0,3103.75,2896.25,234.0,266.0,0.9578942913522878
30,16.0,3098.75,2901.25,242.0,258.0,0.9998761153321318
30,22.627416997969522,3100.8210678118653,2899.1789321881347,238.68629150101523,261.31370849898474,0.9860951030405489
30,19.027313840043536,3099.6960355750134,2900.3039644249866,240.48634307997824,259.5136569200218,0.9999305144962467
30,20.749432874416154,3100.234197773255,2899.765802226745,239.62528356279194,260.37471643720806,0.9982035618814384
30,21.668088750990286,3100.5212777346846,2899.4787222653154,239.16595562450485,260.8340443754951,0.993648562963473
30,21.20378629055586,3100.376183215799,2899.623816784201,239.39810685472207,260.6018931452779,0.996340376566295
30,20.97537938439623,3100.304806057624,2899.695193942376,239.5123103078019,260.4876896921981,0.9973727379781696
30,21.089273620257025,3100.3403980063304,2899.6596019936696,239.4553631898715,260.5446368101285,0.9968823829329201
30,64,3613.75,3386.25,218.0,282.0,0.8370707718720295
30,32.0,3603.75,3396.25,234.0,266.0,0.9679435801028149
30,16.0,3598.75,3401.25,242.0,258.0,0.999958534917512
30,22.627416997969522,3600.8210678118653,3399.1789321881347,238.68629150101523,261.31370849898474,0.9920572981344649
30,19.027313840043536,3599.6960355750134,3400.3039644249866,240.48634307997824,259.5136569200218,0.9999833978079173
30,20.749432874416154,3600.234197773255,3399.765802226745,239.62528356279194,260.37471643720806,0.9989885645795764
30,21.668088750990286,3600.5212777346846,3399.4787222653154,239.16595562450485,260.8340443754951,0.9964506248100126
30,21.20378629055586,3600.376183215799,3399.623816784201,239.39810685472207,260.6018931452779,0.9979608359223356
30,21.43468038485285,3600.4483376202666,3399.5516623797334,239.28265980757357,260.71734019242643,0.997268082417311
30,21.551068579727136,3600.4847089311647,3399.5152910688353,239.22446571013643,260.7755342898636,0.996874948677168
30,64,4113.75,3886.25,218.0,282.0,0.8542538595394829
30,32.0,4103.75,3896.25,234.0,266.0,0.9756027997284653
30,16.0,4098.75,3901.25,242.0,258.0,0.9999866846610159
30,22.627416997969522,4100.821067811866,3899.1789321881347,238.68629150101523,261.31370849898474,0.9954589895783836
30,19.027313840043536,4099.696035575013,3900.3039644249866,240.48634307997824,259.5136569200218,0.9999972220952892
30,20.749432874416154,4100.234197773255,3899.765802226745,239.62528356279194,260.37471643720806,0.9994329665296313
30,21.668088750990286,4100.521277734684,3899.4787222653154,239.16595562450485,260.8340443754951,0.9980164666170948
30,22.142558111421312,4100.669549409819,3899.330450590181,238.92872094428935,261.07127905571065,0.9968701785005329
30,21.904038767593452,4100.595012114873,3899.404987885127,239.04798061620326,260.9520193837967,0.9974798540735844
30,22.022975532072483,4100.632179853773,3899.367820146227,238.98851223396375,261.0114877660362,0.9971838152664139
30,64,4613.75,4386.25,218.0,282.0,0.8681728873509813
30,32.0,4603.75,4396.25,234.0,266.0,0.9814544359885753
30,16.0,4598.75,4401.25,242.0,258.0,0.9999961583311009
30,22.627416997969522,4600.821067811866,4399.178932188134,238.68629150101523,261.31370849898474,0.9973958200920557
30,26.908685288118868,4602.158964152537,4397.841035847463,236.54565735594056,263.4543426440594,0.9956450253514628
30,24.675373206527055,4601.4610541270395,4398.5389458729605,237.66231339673647,262.33768660326353,0.9938548438303718
30,23.629218335031993,4601.134130729697,4398.865869270303,238.18539083248402,261.814609167516,0.9954438113350492
30,23.12289291163275,4600.975904034885,4399.024095965115,238.43855354418363,261.5614464558164,0.9964388014885309
30,22.87381341427152,4600.89806669196,4399.10193330804,238.56309329286424,261.43690670713573,0.996928517767582
30,22.75028163470665,4600.8594630108455,4399.1405369891545,238.62485918264667,261.3751408173533,0.9971656198855368
30,64,5113.75,4886.25,218.0,282.0,0.879653497833647
30,32.0,5103.75,4896.25,234.0,266.0,0.985939738725645
30,16.0,5098.75,4901.25,242.0,258.0,0.9999991925371009
30,22.627416997969522,5100.821067811866,4899.178932188134,238.68629150101523,261.31370849898474,0.9984963234691249
30,26.908685288118868,5102.158964152537,4897.841035847463,236.54565735594056,263.4543426440594,0.9972143852285393
30,29.34412938254948,5102.920040432046,4897.079959567954,235.32793530872527,264.6720646912747,0.9999313137569923
30,30.643304982354355,5103.3260328069855,4896.6739671930145,234.6783475088228,265.3216524911772,0.9965620394719128
30,29.9866821457648,5103.120838170552,4896.879161829448,235.0066589271176,264.9933410728824,0.9989744736424659
30,30.31321570539145,5103.222879907935,4896.777120092065,234.8433921473043,265.15660785269574,0.9979755947257061
30,30.477813469082786,5103.274316709088,4896.725683290912,234.7610932654586,265.2389067345414,0.9973235810505532
30,64,5613.75,5386.25,218.0,282.0,0.8893472398398918
30,32.0,5603.75,5396.25,234.0,266.0,0.9893780207019391
30,16.0,5598.75,5401.25,242.0,258.0,0.9999999778841813
30,22.627416997969522,5600.821067811866,5399.178932188134,238.68629150101523,261.31370849898474,0.9991191156224626
30,26.908685288118868,5602.158964152537,5397.841035847463,236.54565735594056,263.4543426440594,0.9982152398779742
