confDC0,confDC1,confVDL0,confVDL1,perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps],n,cntMean,cntVar,Fnoise [fs]
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.99998215443916,1.2684109336817597e-05,4.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.998527069798666,0.0014656145576491192,9.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.99241241243169,0.007523880942750364,13.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.982197358973886,0.01741718366670236,18.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.969515007281425,0.02909132589031622,22.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.955149681442993,0.041146111139129304,27.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.939189931362073,0.05285682999350216,31.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.921469725474077,0.0639263423146755,36.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.90183051786777,0.0743095928392477,40.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.88021517258908,0.08411026625715501,45.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.856674326419256,0.09351713014345138,49.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.831340601075613,0.10276141397771403,54.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.804397658659191,0.1120867880771445,58.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.879791531012478,0.126506121626606,63.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.873883207653147,0.13568837287617164,67.49999999999999
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.868621743209387,0.14465280611052203,72.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.863940589420748,0.15341757770201242,76.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.85977805626972,0.16199731259710803,81.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,1,8.856077592333216,0.17040408365910556,85.49999999999999
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.999924197160281,6.886830638244543e-05,4.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.99564773042781,0.0035093341279670096,9.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.974967065150995,0.013824920441848692,13.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.929458726443388,0.029320239448416677,18.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.860357809592225,0.05118019683840146,22.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.953969438784275,0.0716457712142077,27.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.945879667584459,0.09276378573398242,31.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.939342486305927,0.11360612505255763,36.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.93410726488511,0.1338619514016254,40.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.929922388133697,0.15337349024772723,45.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.926563400073857,0.17207651800349757,49.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.923833300439513,0.18996281510668722,54.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.921559501495558,0.20705676236924564,58.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.919590135066548,0.22340070281144117,63.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.917791070602465,0.2390457496299574,67.49999999999999
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.916043873917902,0.2540460141043048,72.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.914244470456715,0.2684551376942904,76.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.912302188382997,0.2823245089694475,81.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,2,11.91013897806203,0.29570241850438733,85.49999999999999
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,17.936451255524737,0.004074986065773942,4.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.025141694470975,0.03096765100291083,9.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.046815601355405,0.07077290483049083,13.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.061858831182004,0.11215826873886489,18.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.071266674120753,0.15141592549502286,22.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.07616809568638,0.18747158291850816,27.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.07687054679171,0.22022590040599443,31.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.073200142399752,0.24997072754166594,36.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.064871116907884,0.27718789121499704,40.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.051696376026054,0.3024647927944115,45.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.033652907973067,0.32646753350233115,49.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.010875443116653,0.3499121934712447,54.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,17.98362400316544,0.3735312234433094,58.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,17.952238463216624,0.3980439888535511,63.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,17.917105101865356,0.42413270315654594,67.49999999999999
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.087378304696813,0.4555082157015608,72.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.086887577990602,0.4789173931761572,76.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.08616730531437,0.5021474457519413,81.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,4,18.085178211487666,0.5252104508764835,85.49999999999999
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.385162121822137,0.23683015761008613,4.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.409635453319314,0.24520301385298932,9.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.358886117460784,0.2604148732381951,13.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.21570124563337,0.31479527017664755,18.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.435556503638796,0.32499383108723195,22.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.435085652888517,0.3660074509671019,27.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.4320254972362,0.40927726273540666,31.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.42527110462102,0.4532376071149175,36.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.413676047248025,0.49713107781453897,40.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.396353345422668,0.5407571127861802,45.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.372756713665524,0.5844091385953181,49.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.34267629225109,0.6287219181945216,54.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.306169294557677,0.6746121500538232,58.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.263497856568684,0.7231864669579311,63.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.215038727498047,0.7756449821875434,67.49999999999999
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.161269737351862,0.8331910758217062,72.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.427460131536073,0.8685270971105044,76.5
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.423339283890876,0.9134450284028541,81.0
-1,-1,-1,-1,18781.339772404717,18252.723123341515,448.5777116929688,171.2283927984041,8,30.418163017520072,0.9580171424325754,85.49999999999999
