confDC0,confDC1,confVDL0,confVDL1,perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps],n,cntMean,cntVar
8192,1,0,61671,15559.354226020892,14967.341159274654,431.8864189329896,172.2136294095976,1,10.434127807617188,0.24566085427068174
8192,1,0,61671,15562.310030395138,14976.234003656307,432.1461447362521,172.4889404521518,2,13.215484619140625,0.2055195039138198
8192,1,0,61671,15568.22500950209,14984.452167550759,431.83177959289105,172.7922817197599,4,19.580413818359375,0.30548430141061544
8192,1,0,61671,15556.399544246107,14975.549563548284,431.68614225302014,172.51963537537026,8,32.40142822265625,0.4923893176019192
8192,1,0,61671,15560.8319878431,14985.137421685646,431.75951753825393,172.3960141839494,1,10.26361083984375,0.1941201649606228
8192,1,0,61671,15562.310030395138,14983.081847279378,432.1444349930434,172.771054099569,2,13.2911376953125,0.22062824666500092
8192,1,0,61671,15566.745843230403,14992.67935578331,431.6474738453351,173.99837301326014,4,19.66510009765625,0.3168581686913967
8192,1,0,61671,15565.26695800874,14988.564632696003,432.0418751524501,173.5345970304019,8,32.718414306640625,0.561181909404695
8192,1,0,61671,15566.745843230403,14979.657142857142,431.7430201457238,175.22226298098158,1,10.362380981445312,0.23106100573204458
8192,1,0,61671,15566.745843230403,14986.508117996798,432.0008648454814,172.29503421398277,2,13.128952026367188,0.17436563759110868
8192,1,0,61671,15569.704456903924,14994.051432232087,431.98150157339455,172.14523283052512,4,19.658828735351562,0.3169670363422483
8192,1,0,61671,15565.26695800874,14987.879065087132,431.49059669692684,172.2330002170783,8,32.390411376953125,0.5313558122143149
8192,1,0,61671,15564.527620766636,14980.341958489531,432.2185362765207,172.14324326738046,1,10.3546142578125,0.22886298596858978
8192,1,0,61671,15561.57097402289,14986.508117996798,431.6309850138375,172.29394710247723,2,13.234588623046875,0.2052831193432212
8192,1,0,61671,15568.22500950209,14990.62171188069,431.90577368179635,172.23988061791476,4,19.553024291992188,0.29366669594310224
8192,1,0,61671,15560.093071845766,14985.822738498126,431.64065072778766,172.3481381898817,8,32.282379150390625,0.5392500525340438
8192,1,0,61671,15563.04915696984,14983.766976084868,431.8687734679057,172.1688397938682,1,10.243392944335938,0.18415281898342073
8192,1,0,61671,15563.04915696984,14989.250263025478,432.09941662359034,172.23562556832815,2,13.074615478515625,0.1687184190377593
