confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
21730,09459,47424,04578,2676.0,2733.3,220.00,207.67
09382,16767,01442,02852,2665.9,2727.6,228.08,215.59
07285,26141,05296,40449,2666.2,2728.0,228.16,215.53
10541,12891,03203,03620,2675.3,2731.1,228.30,215.75
29085,06024,03220,39048,2670.1,2731.8,227.90,215.59
06503,09545,05296,49414,2668.9,2729.5,228.09,215.69
11474,16827,12556,03590,2668.7,2729.3,228.17,216.20
06806,19492,05505,22538,2663.8,2726.5,227.79,215.65
65300,45401,22537,14208,2665.6,2729.8,228.42,216.08
17717,08934,06592,39041,2672.2,2735.2,228.22,215.72
09367,15908,01266,08467,2666.6,2723.2,238.11,225.82
13877,09303,01287,03776,2667.7,2731.2,229.56,217.28
19230,25642,17569,37160,2665.0,2726.2,228.84,216.16
46883,07226,09409,49674,2668.6,2732.0,228.47,216.04
31002,50833,00875,37476,2666.9,2731.5,211.74,199.15
54558,07241,10402,37186,2669.8,2728.5,228.53,216.24
21549,10450,05194,58116,2667.4,2723.9,228.54,216.46
35057,09412,41184,45828,2671.6,2734.3,228.54,216.13
38430,41517,20769,12034,2665.6,2725.3,227.80,215.50
54558,11331,32883,00679,2669.9,2729.1,241.65,229.01
09100,46364,01488,24868,2669.8,2728.5,230.00,217.95
07860,53668,06665,54529,2668.7,2731.0,228.32,215.97
05343,17123,20746,62016,2672.4,2734.3,228.40,216.10
05501,29254,01230,39176,2663.6,2726.8,239.58,227.22
23076,20003,39072,08820,2670.3,2731.1,224.32,211.99
37433,43137,01315,21032,2658.7,2728.8,227.94,215.63
46883,18034,06412,49667,2668.5,2733.8,228.24,215.85
15202,41352,04255,52288,2665.4,2730.0,239.51,227.15
20986,41412,43296,51209,2669.3,2733.4,230.03,217.68
51825,29284,08405,16415,2664.1,2735.7,244.51,232.32
08910,15131,06218,12577,2662.2,2726.8,231.21,218.66
05754,20937,20997,27396,2675.0,2733.8,228.58,216.30
05787,20860,17422,37924,2674.0,2732.9,228.37,215.46
57909,59249,41122,05668,2657.8,2724.2,228.05,215.84
55063,06084,05344,06406,2674.6,2735.1,227.77,215.48
18082,06715,49250,23872,2670.0,2727.8,227.92,215.70
55063,12918,24964,63552,2674.7,2736.2,228.11,215.82
37491,17378,09104,19492,2659.3,2727.4,227.81,215.61
35281,09530,49190,26496,2659.2,2726.6,228.39,216.08
09652,08036,04932,56321,2674.2,2734.9,227.65,215.22
29038,08903,25217,05536,2664.5,2728.8,228.22,216.00
06734,25907,16668,02159,2662.2,2724.4,234.30,222.29
10883,08008,35040,35112,2675.3,2734.2,228.39,216.19
15902,62756,10464,46596,2664.0,2725.2,228.72,216.18
21730,06985,06592,24065,2675.5,2734.1,228.13,215.74
51825,09352,06465,07174,2664.4,2733.1,227.88,215.68
45667,07556,05284,22657,2666.8,2728.6,228.13,215.82
09367,25235,17576,17698,2665.5,2725.7,228.48,215.81
13867,37602,17427,51392,2667.7,2729.3,228.46,215.66
55457,33176,03093,51976,2663.6,2732.3,227.67,215.97
22559,13746,49190,20868,2673.4,2731.9,228.33,216.26
